__run_id,__done,input_size,cache,sampling,execution_time,average_cpu_usage,memory_usage,dram_energy,package_energy,pp0_energy,pp1_energy
run_0_repetition_0,DONE,1024,DFT,200,0.00439596,490.18,99049443328,0,0,0,0
run_1_repetition_0,DONE,1024,DFT,1000,0.00413322,383.255,99027542016,0,0,0,0
run_2_repetition_0,DONE,1024,DFT_cache,200,0.00422287,750.295,132421869568,0,0,0,0
run_3_repetition_0,DONE,1024,DFT_cache,1000,0.00397897,340.334,98558210048,0,0,0,0
run_4_repetition_0,DONE,1024,DFT_lru_cache,200,0.00402212,497.749,98329276416,0,0,0,0
run_5_repetition_0,DONE,1024,DFT_lru_cache,1000,0.00391388,350.873,98617823232,0,0,0,0
run_6_repetition_0,DONE,4096,DFT,200,0.00442791,435.535,197998276608,0,0,0,0
run_7_repetition_0,DONE,4096,DFT,1000,0.00393295,344.833,98391298048,0,0,0,0
run_8_repetition_0,DONE,4096,DFT_cache,200,0.00520492,418.675,197238845440,0,0,0,0
run_9_repetition_0,DONE,4096,DFT_cache,1000,0.00415587,272.403,98284437504,0,0,0,0
run_10_repetition_0,DONE,4096,DFT_lru_cache,200,0.00370026,422.175,196942352384,0,0,0,0
run_11_repetition_0,DONE,4096,DFT_lru_cache,1000,0.00536823,305.443,98329456640,0,0,0,0
